ID,SMILES,Kd,IC50,erk_IC50,log_Kd,log_IC50,log_erk_IC50,binding_energy,uncertainty,RMSD,CNNscore,CNNaffinity,CNNvariance
us_444,Fc1c(ncc2c(nc(OC[C@]34CCCN3[C@@H](COC(=O)N3CCCCC3)CC4)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,5.5,365.0,,1.7047499104185904,5.899897380979751,-12.39058,-1.87742,1.17891,0.63388,8.1264,0.14101
us_445,Fc1c(ncc2c(nc(OC[C@]34CCCN3[C@@H](COC(=O)N3CCOCC3)CC4)nc12)N1CC2CCC(C1)N2)-c1cccc2cccc(Cl)c12,,2.7,130.0,,0.9932554767071284,4.867534527378656,-12.29327,-1.83723,0.90436,0.64953,8.03618,0.14941
us_446,Cn1ccc2cccc(-c3ncc4c(nc(OCC56CCCN5CCC6)nc4c3F)N3CC4CCC(C3)N4)c12,,357.0,,,5.877735809790843,,-9.31542,-1.06427,1.92839,0.78933,7.12139,0.25939
us_447,CCCc1ccccc1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,297.0,,,5.693732172472733,,-11.85017,-1.12245,0.67092,0.63813,7.79914,0.16529
us_449,CCc1cccc2cc(O)cc(-c3ncc4c(ncnc4c3F)N3CC4CCC(C3)N4)c12,,71.0,,,4.2626800178863755,,-13.46455,-0.52139,0.39455,0.72863,7.5635,0.26369
us_450,CC(Oc1nc(N2CC3CCC(C2)N3)c2cnc(c(F)c2n1)-c1cccc2cccc(F)c12)C12CCCN1CCC2,,37.0,,,3.610918182914458,,-13.10635,-1.39349,0.74891,0.56955,7.96075,0.15158
us_453,Nc1nc2c(cccc2s1)-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,27.0,,,3.2958372363746307,,-7.04042,-0.75959,1.97334,0.20409,5.48047,0.33363
us_454,Fc1c(ncc2c(nc(OCC34CCCN3CCC4)nc12)N1CC2CCC(C1)N2)-c1cccc2scnc12,,295.0,,,5.686975390238124,,-11.16732,-0.65493,0.76724,0.34152,7.08016,0.10305
us_455,Nc1nc2c(ccc(F)c2s1)-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,17.0,,,2.8332139322913372,,-11.88052,-1.1995,0.78458,0.52545,7.6929,0.32719
us_456,Cc1cc2sc(N)nc2c(c1C)-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,966.0,,,6.873163844564485,,-4.73874,-1.49448,8.08834,0.35422,5.55832,0.29851
us_457,Cc1cc2sc(N)nc2c(c1C)-c1ncc2c(nc(OC[C@@]34CCCN3C[C@H](F)C4)nc2c1F)N1CC2CCC(C1)N2,,475.0,,,6.163314825087272,,-6.54004,-1.467,1.84999,0.14122,5.86372,0.0953
us_458,Cc1ccc2sc(N)nc2c1-c1ncc2c(nc(OCC34CCCN3CCC4)nc2c1F)N1CC2CCC(C1)N2,,143.0,,,4.962844700189975,,-7.19523,-1.51823,1.19219,0.25511,6.5217,0.21011
us_465,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OC[C@]23CCCN3C[C@@H](C2)F)C(=C(N=C1)C1=CC=CC2=CC=CC(=C12)CC)F,,1.0,,,9.999950000398841e-06,,-14.1116,-1.31582,0.65208,0.76881,8.09373,0.05793
us_466,[C@H]12CN(C[C@H](CC1)N2)C3=NC(=NC4=C3C=NC(=C4F)C5=CC=CC6=CC=CC(=C56)CC)OC[C@@]78C[C@@H](CN7C[C@@H](C8)O)O,,6.0,,,1.7917611358933327,,-14.14431,-1.37932,0.26539,0.8504,8.04643,0.05482
us_469,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OC[C@]23CCCCN3C[C@@H](C2)F)C(=C(N=C1)C1=CC(=CC2=CC=C(C(=C12)C#C)F)O)F,,2.0,31.6,,0.6931521805474453,3.4531574370485125,-14.82758,-1.19284,0.59482,0.78501,8.18866,0.02593
us_480,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OC([2H])([2H])[C@]23CCC(N3C[C@@H](C2)F)([2H])[2H])C(=C(N=C1)C1=CC(=CC2=CC=CC(=C12)CC)O)F,,2.0,,,0.6931521805474453,,-14.36582,-1.22506,0.6171,0.85322,8.17927,0.0064
us_481,[C@H]12CN(C[C@H](CC1)N2)C=2C1=C(N=C(N2)OC([2H])([2H])[C@]23CCC(N3C[C@@H](C2)F)([2H])[2H])C(=C(N=C1)C1=CC(=CC2=CC=C(C(=C12)C#C)F)O)F,,2.0,,,0.6931521805474453,,-14.52378,-1.25953,0.56983,0.84211,8.21718,0.00142
31678_1,CN(C1(CCC1)CNC=1C2=C(N=C(N1)OC[C@]13CCCN3C[C@@H](C1)F)C(=C(N=C2)C2=CC(=CC1=CC=CC=C21)O)F)C,14.7,19.6,692.3,2.687848174056568,2.975530076440423,6.540019402128584,-10.96345,-1.51405,1.15404,0.49978,7.32008,0.185
31678_2,CN(C1(CCC1)CNC=1C2=C(N=C(N1)OC[C@]13CCCN3C[C@@H](C1)F)C(=C(N=C2)C2=CC=CC1=CC=CC(=C21)C)F)C,,269.1,,,5.5950830948937655,,-11.75072,-2.00148,0.95,0.45823,7.4595,0.09111
31678_3,CN(C1(CCC1)CNC=1C2=C(N=C(N1)OC[C@]13CCCN3C[C@@H](C1)F)C(=C(N=C2)C2=CC=CC1=CC=CC(=C21)C(F)(F)F)F)C,,238.9,,,5.476045096190281,,-7.05723,-1.67396,0.87377,0.30065,6.59339,0.33256
