Index,Example,IUPAC
103,103,"3-(3-((7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)propyl)-1H-l ,2,4-triazol-5-ol"
104,104,"-(2-(1H-pyrazol-4-yl)pyrrolidin-1-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine"
105,105,"(5-(((7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)-1H-1,2,4-triazol-3-yl)methanol"
106,106,"6-(7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-6-azabicyclo[3.2.1]octan-3-ol"
107,107,"3-((7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)azetidine-1-carboxamide"
108,108,"-(3-(1H-1,2,3-triazol-4-yl)piperidin-1-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro- 1H-pyrrolizin-7a(5H)=yl)methoxy)pyrido[4,3-d]pyrimidine"
109,109,"-(3-(1H-pyrazol-1-yl)piperidin-1-yl)-7-(8-chloronaphthalen-1-yl)-8-fluoro-2-((tetrahydro-1H- pyrrolizin-7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine"
110,110,"5-(((8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)amino)methyl)oxazolidin-2-one"
111,111,"4-(8-fluoro-7-(8-fluoronaphthalen- 1 -yl)-2-((tetrahydro- 1 H-py rrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-1,4-oxazepan-6-ol"
112,112,"(3R,5R)-1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-I H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)-5-methylpiperidin-3-ol"
113,113,"( 1-(8-fluoro-7-(8-fluoronaphthalen-1-yl)-2-((tetrahydro-1H-pyrrolizin-7a(5H)- yl)methoxy)pyrido[4,3-d]pyrimidin-4-yl)piperidin-3-yl)methanol"
114,114,"-fluoro-7-(8-fluoronaphthalen-1-yl)-4-(5-azaspiro[2.5]octan-5-yl)-2-((tetrahydro-1H-pyrrolizin- 7a(5H)-yl)methoxy)pyrido[4,3-d]pyrimidine"
